ISIN,Symbol,Market,Url,PID
FR0013088606,ALDRV,France,https://www.investing.com/equities/drone-volt-sa,951014
FR0000072993,ALMAK,France,https://www.investing.com/equities/makheia-group,943247
FR0000130809,SOGN,France,https://www.investing.com/equities/societe-generale,410
FR0010397232,ALNOV,France,https://www.investing.com/equities/novacyt,943299
FR0010613471,SEVI,France,https://www.investing.com/equities/suez-environnement-s.a.,8806
FR0013066750,ALDBT,France,https://www.investing.com/equities/dbt-sa,962347
FR0010208488,ENGIE,France,https://www.investing.com/equities/gdf-suez,395
FR0000131104,BNPP,France,https://www.investing.com/equities/bnp-paribas,396
FR0010493510,ALALO,France,https://www.investing.com/equities/acheter-louer,943311
FR0004032746,ALNEV,France,https://www.investing.com/equities/neovacs-sa,19723
FR0000031122,AIRF,France,https://www.investing.com/equities/air-france---klm,385
GB00BDSFG982,FTI,France,https://www.investing.com/equities/fmc-technologies-inc?cid=7006,7006
FR0000121501,PEUP,France,https://www.investing.com/equities/peugeot,402
FR0000127771,VIV,France,https://www.investing.com/equities/vivendi,415
FR0000079634,GECI,France,https://www.investing.com/equities/geci-intl,7112
FR0013495298,ALGAU,France,https://www.investing.com/equities/gaussin,943292
NL0000235190,AIR,France,https://www.investing.com/equities/eads,412
NL0000226223,STM,France,https://www.investing.com/equities/stmicroelectroni,417
FR0011051598,ALMIB,France,https://www.investing.com/equities/amoeba-sa,955876
FR0000131906,RENA,France,https://www.investing.com/equities/renault,419
FR0000120172,CARR,France,https://www.investing.com/equities/carrefour,404
FR0000120578,SASY,France,https://www.investing.com/equities/sanofi-aventis,414
FR0000125486,SGEF,France,https://www.investing.com/equities/vinci,418
FR0011950732,ELIOR,France,https://www.investing.com/equities/elior,943369
FR0013505583,ALCYB,France,https://www.investing.com/equities/cybergun,17730
FR0000121964,LOIM,France,https://www.investing.com/equities/klepierre,7070
FR0000120404,ACCP,France,https://www.investing.com/equities/accor,386
FR0000124141,VIE,France,https://www.investing.com/equities/veolia-environ,420
FR0000054322,CIBP,France,https://www.investing.com/equities/cibox-inter-activ,17718
FR0000120644,DANO,France,https://www.investing.com/equities/danone,394
FR0010533075,GETP,France,https://www.investing.com/equities/groupe-eurotunnel-s.a.,13102
FR0000125007,SGOB,France,https://www.investing.com/equities/saint-gobain,403
FR0000120503,BOUY,France,https://www.investing.com/equities/bouygues,397
FR0000121667,ESLX,France,https://www.investing.com/equities/essilor-internat,405
FR0013176526,VLOF,France,https://www.investing.com/equities/valeo,7022
FR0000130577,PUBP,France,https://www.investing.com/equities/publicis-groupe,6979
FR0006174348,BVI,France,https://www.investing.com/equities/bureau-verita,8788
FR0000039299,BOLL,France,https://www.investing.com/equities/bollore-s.a.,13163
FR0000073272,SAF,France,https://www.investing.com/equities/safran,6991
FR0010220475,ALSO,France,https://www.investing.com/equities/alstom,413
FR0004163111,GNFT,France,https://www.investing.com/equities/genfit-sa,19720
FR0011981968,WLN,France,https://www.investing.com/equities/worldline-sa,953852
LU0088087324,SESFd,France,https://www.investing.com/equities/ses-global,6975
FR0010221234,ETL,France,https://www.investing.com/equities/eutelsat-comm,7017
FR0010386334,KORI,France,https://www.investing.com/equities/korian?cid=23514,23514
FR0000121147,EPED,France,https://www.investing.com/equities/faurecia,6958
FR0000121972,SCHN,France,https://www.investing.com/equities/schneider-electr,401
FR0010307819,LEGD,France,https://www.investing.com/equities/legrand,7059
FR0013481835,ALVMG,France,https://www.investing.com/equities/visiomed-group,943339
FR0012435121,ELIS,France,https://www.investing.com/equities/elis-services-sa,945685
FR0000120073,AIRP,France,https://www.investing.com/equities/air-liquide,389
NL0012044762,ALNOX,France,https://www.investing.com/equities/noxxon-pharma-ag,991180
FR0013505062,TCH,France,https://www.investing.com/equities/technicolor-rgpt,13166
FR0010451203,RXL,France,https://www.investing.com/equities/rexel,6969
FR0011053636,ALTBG,France,https://www.investing.com/equities/leadmedia-grou,943338
FR0011584549,ALMND,France,https://www.investing.com/equities/mnd,943354
FR0013410370,ALAMG,France,https://www.investing.com/equities/auplata,943300
FR0000130213,LAGA,France,https://www.investing.com/equities/lagardere-s.c.a.,668
FR0010241638,MERY,France,https://www.investing.com/equities/mercialys,6994
FR0004153930,ALHYG,France,https://www.investing.com/equities/hybrigenics,19721
FR0010812230,ALMNG,France,https://www.investing.com/equities/mobile-network,943327
FR0013178712,ALPCV,France,https://www.investing.com/equities/cerinnov-group-sa,985719
FR0011950641,ALPIX,France,https://www.investing.com/equities/pixium-vision,943367
FR0000054470,UBIP,France,https://www.investing.com/equities/ubisoft,6984
FR0011636083,ALNLF,France,https://www.investing.com/equities/neolife-sa,990007
FR0000120693,PERP,France,https://www.investing.com/equities/pernod-ricard,406
FR0011648971,ALQGC,France,https://www.investing.com/equities/quantum-genomics-sa,946353
FR0000120222,CNPP,France,https://www.investing.com/equities/cnp-assurances,6997
FR0013426004,AVQ,France,https://www.investing.com/equities/avanquest-software,7154
FR0010411983,SCOR,France,https://www.investing.com/equities/scor,7007
FR0013379484,S30,France,https://www.investing.com/equities/solutions-30-s,943283
FR0000125585,CASP,France,https://www.investing.com/equities/casino,6959
FR0000120321,OREP,France,https://www.investing.com/equities/l-oreal,400
FR0010908533,EDEN,France,https://www.investing.com/equities/edenred,13146
FR0000121261,MICP,France,https://www.investing.com/equities/michelin,411
FR0000121014,LVMH,France,https://www.investing.com/equities/l.v.m.h.,399
FR0004056851,VLS,France,https://www.investing.com/equities/valneva,17898
FR0011799907,GVI,France,https://www.investing.com/equities/genomicvision,943363
FR0010331421,IPH,France,https://www.investing.com/equities/innate-pharma,17795
FR0000125338,CAPP,France,https://www.investing.com/equities/cap-gemini,390
FI0009000681,NOKIA,France,https://www.investing.com/equities/nokia-finland?cid=961657,961657
FR0000051732,ATOS,France,https://www.investing.com/equities/atos-origin,7019
FR0000182479,ARCH,France,https://www.investing.com/equities/archos,7039
FR0004197747,ALTHE,France,https://www.investing.com/equities/theradiag,943269
FR0013269123,RUBF,France,https://www.investing.com/equities/rubis,7103
FR0000121220,EXHO,France,https://www.investing.com/equities/sodexho-alliance,6981
FR0011179886,ALINS,France,https://www.investing.com/equities/intrasense,943344
FR0000077919,JCDX,France,https://www.investing.com/equities/jcdeceaux,7076
FR0000130452,FOUG,France,https://www.investing.com/equities/eiffage,6995
FR0010417345,DBV,France,https://www.investing.com/equities/dbv-technologies-sa,40314
FR0000121329,TCFP,France,https://www.investing.com/equities/thales,6952
FR0004155240,ALVER,France,https://www.investing.com/equities/vergnet,943257
FR0013467123,ALSAF,France,https://www.investing.com/equities/safe-orthopaedics-sa,945682
FR0013183985,SIGHT,France,https://www.investing.com/equities/gensight-biologics-sa,985893
FR0012757854,SPIE,France,https://www.investing.com/equities/spie-promesses,942438
FR0010313833,AKE,France,https://www.investing.com/equities/arkema,6980
FR0010478248,ATAR,France,https://www.investing.com/equities/atari,13160
FR0010667147,COFA,France,https://www.investing.com/equities/coface,943321
FR0013374667,ALKKO,France,https://www.investing.com/equities/kko-international-sa,960722
FR0000035081,ICAD,France,https://www.investing.com/equities/icade,9109
FR0000054900,TFFP,France,https://www.investing.com/equities/tf1,7086
FR0013018041,NAVYA,France,https://www.investing.com/equities/navya,1088763
FR0013506730,VLLP,France,https://www.investing.com/equities/vallourec,408
FR0000130650,DAST,France,https://www.investing.com/equities/dassault-system,6957
FR0004188670,TKTT,France,https://www.investing.com/equities/tarkett,943267
FR0000125346,INGC,France,https://www.investing.com/equities/ingenico,7049
FR0000121485,PRTP,France,https://www.investing.com/equities/kering,670
FR0010259150,IPN,France,https://www.investing.com/equities/ipsen,7072
FR0013398997,ALCUR,France,https://www.investing.com/equities/arcure-sa,1122219
FR0011191766,EOSI,France,https://www.investing.com/equities/eos-imaging-sa,40316
FR0012432516,POXEL,France,https://www.investing.com/equities/poxel-sa,945688
FR0004125920,AMUN,France,https://www.investing.com/equities/amundi-sa,961654
FR0011915339,ALENE,France,https://www.investing.com/equities/enertime-sas,985891
FR0000124570,PLOF,France,https://www.investing.com/equities/plastic-omnium,7027
FR0013451333,FDJ,France,https://www.investing.com/equities/la-francaise-des-jeux-sa,1155481
FR0010557264,ABS,France,https://www.investing.com/equities/ab-science,17629
FR0013514114,ALEUP,France,https://www.investing.com/equities/europlasma-sa,942436
FR0013214145,SMCP,France,https://www.investing.com/equities/groupe-smcp,1052409
FR0000051070,MAUP,France,https://www.investing.com/equities/maurel-prom,7068
FR0012596468,ALSEN,France,https://www.investing.com/equities/sensorion-sa,951012
FR0011742329,MCPHY,France,https://www.investing.com/equities/mcphy-energy,943360
FR0000064578,CVO,France,https://www.investing.com/equities/fonc-des-regions,7015
FR0013258399,BALYO,France,https://www.investing.com/equities/balyo-sa,1011051
FR0000120560,QDT,France,https://www.investing.com/equities/neopost,6992
FR0010820274,ALREW,France,https://www.investing.com/equities/reworld-media,943328
FR0000060873,MBWS,France,https://www.investing.com/equities/belvedere,13175
NL0006294274,ENX,France,https://www.investing.com/equities/euronext,943375
FR0013258662,ALDA,France,https://www.investing.com/equities/ald-international-sa,1012045
FR0004035913,ILD,France,https://www.investing.com/equities/iliad,6983
FR0013006558,SRPG,France,https://www.investing.com/equities/srp-groupe-sa,960709
FR0010040865,GFCP,France,https://www.investing.com/equities/gecina,6953
FR0011716265,ALCJ,France,https://www.investing.com/equities/crossject,943358
FR0010340141,ADP,France,https://www.investing.com/equities/aeroports-paris,6962
FR0011464452,ALSGD,France,https://www.investing.com/equities/spineguard,943351
FR0013227113,SOIT,France,https://www.investing.com/equities/soitec,6990
FR0000130692,CRIP,France,https://www.investing.com/equities/chargeurs,7089
FR0005175080,TRNG,France,https://www.investing.com/equities/transgene,7034
FR0000121121,EURA,France,https://www.investing.com/equities/eurazeo?cid=25448,25448
FR0010380626,PRSW,France,https://www.investing.com/equities/prologue-software,17667
FR0004183960,VTX,France,https://www.investing.com/equities/voluntis,1077178
FR0000051807,TEPRF,France,https://www.investing.com/equities/teleperformance,7087
FR0000120859,IMTP,France,https://www.investing.com/equities/imerys,6967
FR0012616852,ABNX,France,https://www.investing.com/equities/cerenis-therapeutics-holding,949746
FR0000053225,MMTP,France,https://www.investing.com/equities/m6-metropole,6946
FR0000121204,MWDP,France,https://www.investing.com/equities/wendel,6993
FR0010641449,ALAGR,France,https://www.investing.com/equities/agrogeneration,943320
FR0010112524,NEXI,France,https://www.investing.com/equities/nexity,7054
FR0010193052,CATGR,France,https://www.investing.com/equities/poncin-yachts,17848
FR0000071946,LTEN,France,https://www.investing.com/equities/alten,7048
FR0011471135,ERYP,France,https://www.investing.com/equities/erytech-pharma,943352
FR0011675362,NEOEN,France,https://www.investing.com/equities/neoen,1097383
FR0004065605,MEDCL,France,https://www.investing.com/equities/medincell-sa,1096116
FR0000184798,ORP,France,https://www.investing.com/equities/orpea,7075
FR0013280286,BIOX,France,https://www.investing.com/equities/biomerieux,7078
FR0013286259,ALTHX,France,https://www.investing.com/equities/theranexus,1052917
FR0000044448,NEXS,France,https://www.investing.com/equities/nexans,7028
FR0000130395,RCOP,France,https://www.investing.com/equities/remy-cointreau,6971
FR0011271600,FALG,France,https://www.investing.com/equities/fermentalg,943348
FR0010291245,VMX,France,https://www.investing.com/equities/inside-secure-sa,40320
FR0000131757,ERMT,France,https://www.investing.com/equities/eramet,6948
FR0013233012,IVAA,France,https://www.investing.com/equities/inventiva-sa,996538
FR0000060618,GENC,France,https://www.investing.com/equities/rallye,6996
FR0010828137,CARM,France,https://www.investing.com/equities/carrefour-pro-dev,17728
FR0013240934,ALERS,France,https://www.investing.com/equities/exonhit-sa,19718
FR0010879056,ALDEI,France,https://www.investing.com/equities/deinove,943329
FR0010095596,C4X,France,https://www.investing.com/equities/bioalliance-pharma,17635
FR0011005933,ALBIO,France,https://www.investing.com/equities/biosynex,943333
FR0013345493,ALTUV,France,https://www.investing.com/equities/bio-uv-group,1084283
